Image,Metric,Num Boxes,Time (s)
2,Selective Search,2450,1.6854901313781738
2,Edge Detection,2450,0.4525599479675293
2,Selective Search,2500,1.6618380546569824
2,Edge Detection,2500,0.4555346965789795
3,Selective Search,100,1.5721349716186523
3,Edge Detection,100,0.43357229232788086
3,Selective Search,150,1.5565569400787354
3,Edge Detection,150,0.4350130558013916
3,Selective Search,200,1.5615978240966797
3,Edge Detection,200,0.4328157901763916
3,Selective Search,250,1.567953109741211
3,Edge Detection,250,0.43583202362060547
3,Selective Search,300,1.5625278949737549
3,Edge Detection,300,0.4343130588531494
3,Selective Search,350,1.5538818836212158
3,Edge Detection,350,0.43599724769592285
3,Selective Search,400,1.5581707954406738
3,Edge Detection,400,0.43372416496276855
3,Selective Search,450,1.5613338947296143
3,Edge Detection,450,0.435089111328125
3,Selective Search,500,1.5475351810455322
3,Edge Detection,500,0.42992210388183594
3,Selective Search,550,1.5292842388153076
3,Edge Detection,550,0.43128490447998047
3,Selective Search,600,1.521812915802002
3,Edge Detection,600,0.4320499897003174
3,Selective Search,650,1.5380198955535889
3,Edge Detection,650,0.4302041530609131
3,Selective Search,700,1.5385830402374268
3,Edge Detection,700,0.43765807151794434
3,Selective Search,750,1.5669691562652588
3,Edge Detection,750,0.4325418472290039
3,Selective Search,800,1.6637210845947266
3,Edge Detection,800,0.4504978656768799
3,Selective Search,850,1.5398519039154053
3,Edge Detection,850,0.43212199211120605
3,Selective Search,900,1.5329947471618652
3,Edge Detection,900,0.4303860664367676
3,Selective Search,950,1.529484748840332
3,Edge Detection,950,0.43025994300842285
3,Selective Search,1000,1.525568962097168
3,Edge Detection,1000,0.4287233352661133
3,Selective Search,1050,1.5306081771850586
3,Edge Detection,1050,0.4325528144836426
3,Selective Search,1100,1.5189290046691895
3,Edge Detection,1100,0.42853307723999023
3,Selective Search,1150,1.5269780158996582
3,Edge Detection,1150,0.43175601959228516
3,Selective Search,1200,1.5273311138153076
3,Edge Detection,1200,0.4348599910736084
3,Selective Search,1250,1.526289939880371
3,Edge Detection,1250,0.42962193489074707
3,Selective Search,1300,1.5263721942901611
3,Edge Detection,1300,0.4267609119415283
3,Selective Search,1350,1.5224339962005615
3,Edge Detection,1350,0.427448034286499
3,Selective Search,1400,1.5168077945709229
3,Edge Detection,1400,0.42923426628112793
3,Selective Search,1450,1.5305168628692627
3,Edge Detection,1450,0.4290790557861328
3,Selective Search,1500,1.5363917350769043
3,Edge Detection,1500,0.43192195892333984
3,Selective Search,1550,1.5368218421936035
3,Edge Detection,1550,0.4277019500732422
3,Selective Search,1600,1.5250906944274902
3,Edge Detection,1600,0.4314732551574707
3,Selective Search,1650,1.528019905090332
3,Edge Detection,1650,0.43005800247192383
3,Selective Search,1700,1.5278468132019043
3,Edge Detection,1700,0.4324381351470947
3,Selective Search,1750,1.5279061794281006
3,Edge Detection,1750,0.42973995208740234
3,Selective Search,1800,1.5358986854553223
3,Edge Detection,1800,0.43234920501708984
3,Selective Search,1850,1.535649061203003
3,Edge Detection,1850,0.42711925506591797
3,Selective Search,1900,1.5307130813598633
3,Edge Detection,1900,0.42809104919433594
3,Selective Search,1950,1.5127322673797607
3,Edge Detection,1950,0.427562952041626
3,Selective Search,2000,1.5239999294281006
3,Edge Detection,2000,0.427448034286499
3,Selective Search,2050,1.5360300540924072
3,Edge Detection,2050,0.4278538227081299
3,Selective Search,2100,1.531991958618164
3,Edge Detection,2100,0.42888712882995605
3,Selective Search,2150,1.522538661956787
3,Edge Detection,2150,0.4296109676361084
3,Selective Search,2200,1.5289690494537354
3,Edge Detection,2200,0.42722296714782715
3,Selective Search,2250,1.5216789245605469
3,Edge Detection,2250,0.43022608757019043
3,Selective Search,2300,1.5170578956604004
3,Edge Detection,2300,0.42992615699768066
3,Selective Search,2350,1.5387351512908936
3,Edge Detection,2350,0.4284238815307617
3,Selective Search,2400,1.5304908752441406
3,Edge Detection,2400,0.4276280403137207
3,Selective Search,2450,1.6055889129638672
3,Edge Detection,2450,0.4503910541534424
3,Selective Search,2500,1.5802850723266602
3,Edge Detection,2500,0.433168888092041
4,Selective Search,100,7.812486886978149
4,Edge Detection,100,0.5220682621002197
4,Selective Search,150,7.765247106552124
4,Edge Detection,150,0.5198900699615479
4,Selective Search,200,7.827240943908691
