Image,Alpha,Beta,Min Score,Recall,MABO
2,0.1,0.6000000000000001,0.11,0.0,0.0
3,0.1,0.6000000000000001,0.11,0.0,0.0
4,0.1,0.6000000000000001,0.11,0.0,0.0
5,0.1,0.6000000000000001,0.11,0.0,0.0
6,0.1,0.6000000000000001,0.11,0.0,0.0
7,0.1,0.6000000000000001,0.11,0.0,0.0
8,0.1,0.6000000000000001,0.11,0.0,0.0
9,0.1,0.6000000000000001,0.11,0.0,0.0
10,0.1,0.6000000000000001,0.11,0.0,0.0
1,0.1,0.6000000000000001,0.21000000000000002,0.0,0.0
2,0.1,0.6000000000000001,0.21000000000000002,0.0,0.0
3,0.1,0.6000000000000001,0.21000000000000002,0.0,0.0
4,0.1,0.6000000000000001,0.21000000000000002,0.0,0.0
5,0.1,0.6000000000000001,0.21000000000000002,0.0,0.0
6,0.1,0.6000000000000001,0.21000000000000002,0.0,0.0
7,0.1,0.6000000000000001,0.21000000000000002,0.0,0.0
8,0.1,0.6000000000000001,0.21000000000000002,0.0,0.0
9,0.1,0.6000000000000001,0.21000000000000002,0.0,0.0
10,0.1,0.6000000000000001,0.21000000000000002,0.0,0.0
1,0.1,0.6000000000000001,0.31,0.0,0.0
2,0.1,0.6000000000000001,0.31,0.0,0.0
3,0.1,0.6000000000000001,0.31,0.0,0.0
4,0.1,0.6000000000000001,0.31,0.0,0.0
5,0.1,0.6000000000000001,0.31,0.0,0.0
6,0.1,0.6000000000000001,0.31,0.0,0.0
7,0.1,0.6000000000000001,0.31,0.0,0.0
8,0.1,0.6000000000000001,0.31,0.0,0.0
9,0.1,0.6000000000000001,0.31,0.0,0.0
10,0.1,0.6000000000000001,0.31,0.0,0.0
1,0.1,0.6000000000000001,0.41000000000000003,0.0,0.0
2,0.1,0.6000000000000001,0.41000000000000003,0.0,0.0
3,0.1,0.6000000000000001,0.41000000000000003,0.0,0.0
4,0.1,0.6000000000000001,0.41000000000000003,0.0,0.0
5,0.1,0.6000000000000001,0.41000000000000003,0.0,0.0
6,0.1,0.6000000000000001,0.41000000000000003,0.0,0.0
